store_name,c1,c2,location,new_address,X,Y
이제는BB탄사격장,오락,게임룸,강서구,서울특별시 강서구 화곡로 142,37.54055489,126.837569
씨티게임랜드,오락,게임룸,구로구,서울특별시 구로구 경인로 176,37.49440139,126.8409988
게임빌리지,오락,게임룸,강서구,서울특별시 강서구 강서로 53,37.53248232,126.8459085
자뻑게임랜드,오락,게임룸,강서구,서울특별시 강서구 강서로5길 4,37.52924785,126.8477798
곰달래게임랜드,오락,게임룸,강서구,서울특별시 강서구 곰달래로 135,37.53075379,126.8479038
IFREE,오락,게임룸,양천구,서울특별시 양천구 신월로 282,37.52105479,126.8521368
카이스트,오락,게임룸,양천구,서울특별시 양천구 중앙로 269,37.52044548,126.8524855
PCCLICK,오락,게임룸,양천구,서울특별시 양천구 중앙로 257,37.51926947,126.8529333
스피드인터넷PC플라자,오락,게임룸,양천구,서울특별시 양천구 오목로 148,37.52457766,126.8539721
울트라매니아PC방,오락,게임룸,양천구,서울특별시 양천구 신월로 318,37.52128316,126.8561719
큐브,오락,게임룸,양천구,서울특별시 양천구 목동로25길 16,37.52811916,126.8624031
패닉이스케이프,오락,게임룸,양천구,서울특별시 양천구 신정중앙로 96,37.52621803,126.8624094
게임마스터,오락,게임룸,금천구,서울특별시 금천구 벚꽃로 254,37.47775455,126.885474
황금성게임랜드,오락,게임룸,금천구,서울특별시 금천구 디지털로 211,37.479331,126.8892608
코리아게임장,오락,게임룸,구로구,서울특별시 구로구 디지털로 219,37.48002484,126.8902229
러쉬PC방,오락,게임룸,구로구,서울특별시 구로구 도림로 101,37.49137763,126.8940241
팡팡게임랜드,오락,게임룸,금천구,서울특별시 금천구 시흥대로 399,37.46940043,126.8968463
폴피씨,오락,게임룸,관악구,서울특별시 관악구 시흥대로160길 32,37.48068205,126.9017345
화신성게임랜드,오락,게임룸,관악구,서울특별시 관악구 시흥대로 558,37.48266482,126.9017846
디지털게임장,오락,게임룸,관악구,서울특별시 관악구 시흥대로 576,37.48405531,126.9030646
망고PC방,오락,게임룸,금천구,서울특별시 금천구 독산로 302,37.47358906,126.9034889
88테이블게임장,오락,게임룸,영등포구,서울특별시 영등포구 디지털로69길 2,37.49398112,126.9046044
황금성게임랜드,오락,게임룸,영등포구,서울특별시 영등포구 영등포로 219,37.52013094,126.9057381
